season,team,matches_played,matches_won,matches_lost,win_percentage
2007/08,Mumbai Indians,14,7,8,50.0
2007/08,Royal Challengers Bangalore,14,4,11,28.57
2009/10,Deccan Chargers,16,8,11,50.0
2016,Delhi Capitals,14,7,7,50.0
2016,Sunrisers Hyderabad,17,11,6,64.71
2018,Delhi Capitals,14,6,9,42.86
2018,Rajasthan Royals,15,7,9,46.67
2018,Sunrisers Hyderabad,17,11,8,64.71
2025,Gujarat Titans,15,12,6,80.0
2016,Rising Pune Supergiants,14,5,10,35.71
2017,Kings XI Punjab,14,7,7,50.0
2019,Kolkata Knight Riders,14,6,8,42.86
2020/21,Mumbai Indians,16,11,3,68.75
2020/21,Royal Challengers Bangalore,15,6,8,40.0
2007/08,Chennai Super Kings,16,10,7,62.5
2007/08,Kings XI Punjab,15,11,5,73.33
2019,Sunrisers Hyderabad,15,7,9,46.67
2019,Delhi Capitals,16,10,7,62.5
2019,Rajasthan Royals,14,5,8,35.71
2009,Delhi Capitals,15,13,6,86.67
2009,Rajasthan Royals,13,5,7,38.46
2011,Kolkata Knight Riders,15,8,7,53.33
2012,Kolkata Knight Riders,17,12,5,70.59
2015,Rajasthan Royals,14,8,5,57.14
2015,Delhi Capitals,14,5,10,35.71
2015,Sunrisers Hyderabad,14,7,7,50.0
2021,Kolkata Knight Riders,17,9,8,52.94
2022,Chennai Super Kings,14,4,11,28.57
2022,Kings XI Punjab,14,7,7,50.0
2024,Kings XI Punjab,14,5,11,35.71
2024,Chennai Super Kings,14,9,7,64.29
2009,Kings XI Punjab,14,7,8,50.0
2009,Chennai Super Kings,14,9,6,64.29
2014,Kolkata Knight Riders,16,11,5,68.75
2015,Chennai Super Kings,17,10,7,58.82
2015,Kings XI Punjab,14,2,11,14.29
2022,Rajasthan Royals,17,10,7,58.82
2022,Delhi Capitals,14,8,7,57.14
2022,Sunrisers Hyderabad,14,6,8,42.86
2023,Kolkata Knight Riders,14,6,8,42.86
2024,Delhi Capitals,14,10,7,71.43
2024,Rajasthan Royals,15,10,6,66.67
2024,Sunrisers Hyderabad,16,10,8,62.5
2016,Kings XI Punjab,14,4,10,28.57
2017,Rising Pune Supergiants,16,11,6,68.75
2018,Kings XI Punjab,14,6,8,42.86
2018,Chennai Super Kings,16,13,6,81.25
2019,Royal Challengers Bangalore,14,5,8,35.71
2019,Mumbai Indians,16,10,6,62.5
2020/21,Kolkata Knight Riders,14,7,7,50.0
2009/10,Rajasthan Royals,14,6,9,42.86
2009/10,Delhi Capitals,14,9,8,64.29
2011,Royal Challengers Bangalore,16,11,6,68.75
2011,Mumbai Indians,16,10,7,62.5
2012,Royal Challengers Bangalore,15,9,7,60.0
2012,Mumbai Indians,17,11,7,64.71
2013,Kings XI Punjab,16,9,8,56.25
2013,Chennai Super Kings,18,12,6,66.67
2021,Mumbai Indians,14,7,7,50.0
2021,Royal Challengers Bangalore,15,10,6,66.67
2025,Kings XI Punjab,18,10,8,55.56
2025,Chennai Super Kings,14,4,10,28.57
2011,Chennai Super Kings,16,12,5,75.0
2011,Kings XI Punjab,14,7,7,50.0
2012,Chennai Super Kings,18,10,11,55.56
2012,Kings XI Punjab,16,10,9,62.5
2013,Royal Challengers Bangalore,16,9,6,56.25
2013,Mumbai Indians,19,13,6,68.42
2014,Delhi Capitals,14,3,13,21.43
2014,Sunrisers Hyderabad,14,6,8,42.86
2014,Rajasthan Royals,14,6,7,42.86
2021,Chennai Super Kings,16,11,5,68.75
2021,Kings XI Punjab,14,6,8,42.86
2022,Kolkata Knight Riders,14,7,9,50.0
2023,Rajasthan Royals,14,8,7,57.14
2023,Delhi Capitals,14,5,11,35.71
2023,Sunrisers Hyderabad,14,4,11,28.57
2024,Kolkata Knight Riders,14,11,3,78.57
2025,Mumbai Indians,16,9,7,56.25
2025,Lucknow Super Giants,14,6,8,42.86
2025,Royal Challengers Bangalore,15,13,4,86.67
2007/08,Kolkata Knight Riders,13,6,8,46.15
2009,Deccan Chargers,16,9,7,56.25
2017,Sunrisers Hyderabad,14,9,6,64.29
2017,Delhi Capitals,14,6,9,42.86
2022,Gujarat Titans,16,12,5,75.0
2024,Gujarat Titans,12,5,8,41.67
2016,Kolkata Knight Riders,15,8,7,53.33
2017,Mumbai Indians,17,13,6,76.47
2017,Royal Challengers Bangalore,13,3,10,23.08
2018,Kolkata Knight Riders,16,9,8,56.25
2020/21,Kings XI Punjab,14,5,7,35.71
2020/21,Chennai Super Kings,14,6,9,42.86
2009,Mumbai Indians,13,7,10,53.85
2009,Royal Challengers Bangalore,16,9,8,56.25
2009/10,Kolkata Knight Riders,14,7,7,50.0
2015,Mumbai Indians,16,10,6,62.5
2015,Royal Challengers Bangalore,16,8,6,50.0
2016,Gujarat Lions,16,9,7,56.25
2007/08,Rajasthan Royals,16,14,3,87.5
2007/08,Delhi Capitals,14,7,7,50.0
2011,Deccan Chargers,14,6,9,42.86
2011,Kochi Tuskers Kerala,14,6,9,42.86
2012,Deccan Chargers,15,4,11,26.67
2016,Mumbai Indians,14,7,7,50.0
2016,Royal Challengers Bangalore,16,10,7,62.5
2017,Kolkata Knight Riders,16,9,8,56.25
2018,Mumbai Indians,14,6,8,42.86
2018,Royal Challengers Bangalore,14,6,8,42.86
2019,Kings XI Punjab,14,7,9,50.0
2019,Chennai Super Kings,17,12,7,70.59
2023,Gujarat Titans,17,12,7,70.59
2009/10,Kings XI Punjab,14,3,12,21.43
2009/10,Chennai Super Kings,16,11,7,68.75
2013,Delhi Capitals,16,3,12,18.75
2013,Sunrisers Hyderabad,17,9,7,52.94
2013,Rajasthan Royals,18,11,7,61.11
2013,Pune Warriors,16,4,13,25.0
2014,Mumbai Indians,15,7,9,46.67
2014,Royal Challengers Bangalore,14,5,9,35.71
2023,Lucknow Super Giants,15,8,6,53.33
2023,Mumbai Indians,16,9,7,56.25
2023,Royal Challengers Bangalore,14,9,7,64.29
2025,Sunrisers Hyderabad,14,6,8,42.86
2025,Rajasthan Royals,14,5,10,35.71
2025,Delhi Capitals,15,6,8,40.0
2007/08,Deccan Chargers,14,2,12,14.29
2009,Kolkata Knight Riders,13,3,10,23.08
2009/10,Mumbai Indians,16,15,5,93.75
2009/10,Royal Challengers Bangalore,16,8,8,50.0
2011,Delhi Capitals,14,5,9,35.71
2011,Rajasthan Royals,13,6,7,46.15
2011,Pune Warriors,14,4,9,28.57
2012,Pune Warriors,16,4,13,25.0
2012,Rajasthan Royals,16,7,9,43.75
2012,Delhi Capitals,18,12,7,66.67
2014,Chennai Super Kings,16,12,6,75.0
2014,Kings XI Punjab,17,12,5,70.59
2015,Kolkata Knight Riders,13,8,6,61.54
2017,Gujarat Lions,14,4,10,28.57
2021,Delhi Capitals,16,9,7,56.25
2021,Rajasthan Royals,14,5,9,35.71
2021,Sunrisers Hyderabad,14,3,10,21.43
2023,Chennai Super Kings,16,10,6,62.5
2023,Kings XI Punjab,14,7,8,50.0
2020/21,Delhi Capitals,17,8,8,47.06
2020/21,Rajasthan Royals,14,6,8,42.86
2020/21,Sunrisers Hyderabad,16,8,7,50.0
2013,Kolkata Knight Riders,16,6,11,37.5
2022,Mumbai Indians,14,5,10,35.71
2022,Royal Challengers Bangalore,16,9,7,56.25
2022,Lucknow Super Giants,15,9,6,60.0
2024,Royal Challengers Bangalore,15,7,9,46.67
2024,Lucknow Super Giants,14,7,9,50.0
2024,Mumbai Indians,14,5,11,35.71
2025,Kolkata Knight Riders,13,6,8,46.15
